key,key:userAccount,supervisor,curriculum,expertise-field,link
assistant-01,user-account-assistant-01,"T","Experto en criptografia y testing","Testing y programacion","https://getbootstrap.com/"
assistant-02,user-account-assistant-02,"Te","Experto en bootstrap y testing","Testing y programacion","https://getbootstrap.com/"
assistant-03,user-account-assistant-03,"TestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTes","Experto en bootstrap y testing","Testing y programacion","https://getbootstrap.com/"
assistant-04,user-account-assistant-04,"TestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTe","Experto en bootstrap y testing","Testing y programacion","https://getbootstrap.com/"
assistant-05,user-account-assistant-05,<h1>Hola!</h1>,"Experto en bootstrap y testing","Testing y programacion","https://getbootstrap.com/"
assistant-06,user-account-assistant-06,"<script>alert("Hello There")</script>","Experto en bootstrap y testing","Testing y programacion","https://getbootstrap.com/"
assistant-07,user-account-assistant-07,"ØðƤƠƘƘǠǢƿ","Experto en bootstrap y testing","Testing y programacion","https://getbootstrap.com/"
assistant-08,user-account-assistant-08,"Привет с добрым утром","Experto en bootstrap y testing","Testing y programacion","https://getbootstrap.com/"
assistant-09,user-account-assistant-09,"Te","T","Testing y programacion","https://getbootstrap.com/"
assistant-10,user-account-assistant-10,"Te","Te","Testing y programacion","https://getbootstrap.com/"
assistant-11,user-account-assistant-11,"Te","TestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTest","Testing y programacion","https://getbootstrap.com/"
assistant-12,user-account-assistant-12,"Te","TestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTes","Testing y programacion","https://getbootstrap.com/"
assistant-13,user-account-assistant-13,"Te",<h1>Hola!</h1>,"Testing y programacion","https://getbootstrap.com/"
assistant-14,user-account-assistant-14,"Te","<script>alert("Hello There")</script>","Testing y programacion","https://getbootstrap.com/"
assistant-15,user-account-assistant-15,"Te","ØðƤƠƘƘǠǢƿ","Testing y programacion","https://getbootstrap.com/"
assistant-16,user-account-assistant-16,"Te","Привет с добрым утром","Testing y programacion","https://getbootstrap.com/"
assistant-17,user-account-assistant-17,"Te","Te","T","https://getbootstrap.com/"
assistant-18,user-account-assistant-18,"Te","Te","Te","https://getbootstrap.com/"
assistant-19,user-account-assistant-19,"Te","Te","TestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTest","https://getbootstrap.com/"
assistant-20,user-account-assistant-20,"Te","Te","TestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTes","https://getbootstrap.com/"
assistant-21,user-account-assistant-21,"Te","Te",<h1>Hola!</h1>,null
assistant-22,user-account-assistant-22,"Te","Te","<script>alert("Hello There")</script>","https://getbootstrap.com/"
assistant-23,user-account-assistant-23,"Te","Te","ØðƤƠƘƘǠǢƿ","https://getbootstrap.com/"
assistant-24,user-account-assistant-24,"Te","Te","Привет с добрым утром",null
